author_id,author_name
860,Tony Buổi Sáng
861,The Book Worm
862,Tiếu Giang Nam
863,Sabaa Tahir
864,Fanpage Thần với chả Thoại
865,Chandra Ghosh Ippen
866,Yamamoto Tsunetomo
867,Richard Dawkins
868,Brad Stone
869,Anh Tuan Le
870,Steven D.Levitt
871,Uyên Huy
872,Alphabooks
873,Trường An
874,Barbara Mitchell
875,Phạm Phương Hoa
876,Nhóm tác giả Tản Mạn Kiến Trúc
877,Đường Tửu Khanh
878,Jean-Jacques Rousseau
879,Seimaru Amagi
880,Aki Wakamatsu
881,Ruth A. Drayer
882,Howard Schultz
883,Acacia C. Parks
884,Chris Bailey
885,Trần Vàng Sao
886,Robert Wright
887,Barbara Ann Brennan
888,Charles P. Kindleberger
889,Ram Charan
890,Naoi Mai
891,Lưu Từ Hân
892,Ma Vĩ
893,Roy Garn
894,Donald J.Trump & Tony Schwartz
895,Akiko Kameoka
896,Rae Orion
897,Michelle Buchanan
898,Sergey Filonov
899,Katherine Applegate
900,Estienne Garbugli
901,Pilot Nguyễn
902,Educate and Empower Kids
903,Guillermo Del Toro
904,Nam Thanh
905,Mark Douglas
906,Daniel M. Davis
907,Keigo Higashino
908,Barbara Oakley
909,Vicky Barker
910,Variétés Tonkinoises
911,John Herman Randall Jr.
912,Dương Thị Quỳnh Châu
913,Chimamanda Ngozi Adichie
914,Vu Triết
915,Nate Regier
916,Lão Tử
917,Chris Dyer
918,Hans Rosling Ola Rosling
919,Donald Miller
920,Trạch Quế Vinh
921,E.T.A Hoffmann
922,Philip Zimbardo
923,Sam Phillips
924,William L.Shirer
925,Shin Dohyeon
926,Alex Korb
927,Sherri Duskey Rinder
928,Ken Forkish
929,Charles Duhigg
930,Nam Cao
931,Michael Bunting
932,Trần Hồng Ngọc
933,BBC
934,Claude Ponti
935, 
936,Vũ Thượng
937,Nodoka Shinomaru
938,Ngô Tất Tố
939,Yusei Matsui
940,Donald Robertson
941,Ransom Riggs
942,Jo Nesbo
943,Priest
944,Moon Duk
945,Hero x Hagiwara Daisuke
946,Jenny Kiều
947,Donald T Phillips
948,Mishima Yomu
949,Tố Hữu
950,Ducan Bannatyne
951,Phạm Huy Hoàng
952,Tolly Burkan
953,Gordon Ramsay
954,Jim Kalbach
955,Jo Incheol
956,Vishen Lakhiani
957,Kohei Horikoshi
958,Hà Mạt Bì
959,Motofumi Fukahori
960,Xu
961,Hannah Crum
962,BS. Ngô Đức Hùng
963,Mohammed bin Rashid Al Maktoum
964,Takemachi
965,Maurice Sendak
966,Dale Breckenridge Carnegie
967,Kim Sungmi
968,Nguyễn Tất Kiểm
969,Yoshinori Nagumo
970,Sir Lưu
971,Trương Chấn
972,Stephen Hawking
973,Louise L. Hay
974,Phạm Ngọc Anh
975,Mark Manson
976,Stephen Guise
977,Dominic O' Brien
978,Hà Phương
979,Maria Montessori
980,The Changmi
981,Harriet Beecher Stowe
982,Erich Maria Remarque
983,Robert G. Hagstrom
984,Mark Miodownik
985,Delia Owens
986,David Grossman
987,Jean
988, Moon
989,Simone Davies
990,Veechi Curtis
991,Alexander Osterwalder
992,Dương Ký Châu (Chủ biên)
993,Shefali Tsabary
994,Olivier Guez
995,23thang12
996,Phan Thị Nga
997,Jim Collins
998,T.J.Resler
999, Bùi Việt Hà
1000,Alexander Jutkowitz
1001,Trần Bích Hà
1002,Sarah Andersen
1003,Paul Smith
1004,William A. Cohen
1005,Natsuya Semikawa
1006,J. S. Scott
1007,Linh Nhi
1008,Sony Global Education
1009,Hương Bình
1010,Phùng Kí Tài
1011,Oprah Winfrey
1012,David R. Anderson
1013,Shoko Kanno
1014,Yokomizo Seishi
1015,David Squires
1016,Stanley H. Brown
1017,Thu Giang - Nguyễn Duy Cần
1018,Nguyễn Thiên Ngân 
1019,Youngtak Kim
1020,Tiêu Đỉnh
1021,Khotudien
1022,E. Lockhart
1023,Lam
1024,Isaac Bashevis Singer
1025,Anthony Gell
1026,Edmond De Amicis
1027,Nassim Nicholas Taleb
1028,James Rickards
1029,Christophe Andre
1030,REED HASTINGS
1031,Satoru Onishi
1032,Michael E Gerber
1033,Bianca Sparacino
1034,Emily Bone
1035,RIO BOOK
1036,Craig Christensen
1037,K.A Applegate
1038,Richard Wiseman
1039,Phan Minh Đạo
1040,Steven G. Mandis
1041,David Parmenter
1042,Patty McCord
1043,Arc Academy
1044,Gene Kim
1045,"Mai Hương (Sưu tầm, Biên soạn)"
1046,Guillem Balague
1047,Alan Jacobs
1048,John E. Douglas
1049,William H. McRaven
1050,Pauline Réage
1051,@yenlamtho
1052,Thân Tử Thần
1053,Dave Trott
1054,Bộ Giáo Dục Và Đào Tạo
1055,Thiền sư Thích Nhất Hạnh 
1056,Patrick Lencioni
1057,Chu Kiến Quốc
1058,Song Nghi
1059,Mèo Mốc
1060,Dane
1061,Gin Shirakawa
1062,Nguyễn Đổng Chi
1063,Adrian Kulp
1064,Philip K. Dick
1065,Hamlet Trương
1066,TS. Nguyễn Hoàng Bảo
1067,Thomas M. Campbell II
1068,Benjamin Sweeney
1069,Walther Ziegler
1070,Leonard Sax
1071,James Clear
1072,Toái Toái
1073,Michael F.Patton & Kevin Cannon
1074,Hector Malot
1075,Trương Vĩnh Ký
1076,Esther Duflo
1077,Same Kaean
1078,Misaki Ichijo
1079,Henri Charriere
1080,Mai Tử
1081,Stephen R Covey
1082,Bertrand Russell
1083,Uyên Bùi
1084,John C. Maxwell
